SurveyID,SurveyTitle,ResponseID,DateTime,"Module Type",Sector,"Training Level","Languages Spoken","Module Title","Location Physical Country","Tools Used","Actions To Attract Learners","Certificate Of Attendance","Duration Of Implemented Module","Location Of Materials","Materials Used","(Estimated) male learners enrolled","(Estimated) female learners enrolled","(Estimated) non-binary learners enrolled","Number of learners cybersecurity self-trained","Students Successfully Completed",EduBackgroundLessThanHighschool,EduBackgroundHighSchoolDiploma,EduBackgroundCollegeNoDegree,EduBackgroundUndergraduate,EduBackgroundMaster,EduBackgroundPhD,EduBackgroundOther,"General Feedback From Trainers","Recommendations For Best Practices","Recommendations For Expanding","Recommendations For Future Initiatives",Q1_Value,Q1_Text,Q2_Value,Q2_Text,Q3_Value,Q3_Text,Q4_Value,Q4_Text,Q5_Value,Q5_Text,Q6_Value,Q6_Text,Q18_Value,Q18_Text,Q7_Value,Q7_Text,Q8_Value,Q8_Text,Q9_Value,Q9_Text,Q10_Value,Q10_Text,Q11_Value,Q11_Text,Q12_Value,Q12_Text,Q13_Value,Q13_Text,Q19_Value,Q14_Value,Q14_Text,Q15_Value,Q16_Value,Q17_Value
129,"Trainer Survey",27,"2025-06-21 13:12:40","Seminar (S)",Energy,Advanced,"English, Greek","CSP010 - Penetration Testing",Greece,"Binary related tools ",none,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=53,"no material used ",5,2,0,1,5,0,0,0,3,3,1,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no enhancement is needed  ","no expanding is needed ","more theory before the lab ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,,,,,,,,,,,6,"6 - To a Large Extent",10,"10 - Extremely likely",,6,"6 - Likely",,,
130,"Trainer Survey",26,"2025-06-21 13:12:05","Seminar (S)",Energy,Advanced,English,"CSP010 - Penetration Testing",Cameroon,"Binary exploitation related tools ","None ",No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=53,"no ",50,10,0,10,50,0,0,0,0,20,30,0,"no online form ","no enhancement is needed","no expanding is needed ","more theory before the implementation ",6,"6 - Satisfied",7,"7 - Very Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",5,"5 - To a Fairly Large Extent",,,,,,,,,,,,,,,5,"5 - To a Fairly Large Extent",6,6,,5,"5 - Slightly Likely",,,
131,"Trainer Survey",34,"2025-06-21 13:17:06","Workshop (W)",Maritime,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Cameroon,"Nmap, Nessus and Wireshark","no ",No,6.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=66,"no ",40,10,0,10,40,0,0,0,0,20,30,0,"not online ","nothing ","none ","implemented in a port security administration room ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",7,"7 - To a Very Large Extent",,,,,,,,,,,,,7,"7 - To a Very Large Extent",9,9,,6,"6 - Likely",,,
132,"Trainer Survey",33,"2025-06-21 13:16:44","Seminar (S)",Maritime,Basic,"English, Greek","CSP011 - Cyber Ranges and Operations",Cameroon,"memory exploitation tools ",none,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=52,"no ",50,10,0,10,50,0,0,0,0,20,30,0,"not available ","no recommendations ","no recommendations ","may be a scenario inside the port administration place ",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",5,"5 - To a Fairly Large Extent",6,"6 - To a Large Extent",,,,,,,,,6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - To a Large Extent",7,7,,5,"5 - Slightly Likely",,,
133,"Trainer Survey",31,"2025-06-21 13:15:08","Seminar (S)",Health,Basic,"English, Greek","CSP008 - Critical Infrastructure Security",Greece,"Risk assessment tools ",none,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=50,"none ",20,10,0,10,20,0,0,0,0,30,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Enhance the training module with more interactive exercises","DO this inside the company ","Use the last Standard Cybersecurity Framework",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",,,,,,,,,,,,,6,"6 - To a Large Extent",7,7,,6,"6 - Likely",,,
133,"Trainer Survey",32,"2025-06-21 13:16:18","Seminar (S)",Health,Basic,"English, Greek","CSP008 - Critical Infrastructure Security",Greece,"Risk assessment tools ",none,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=50,"none ",20,10,0,10,20,0,0,0,0,30,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Enhance the training module with more interactive exercises","DO this inside the company ","Use the last Standard Cybersecurity Framework",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",,,,,6,"6 - To a Large Extent",8,8,,6,"6 - Likely",,,
134,"Trainer Survey",30,"2025-06-21 13:14:40","Seminar (S)",Health,Basic,"English, Greek","CSP006 - Cyber Threat Intelligence",Greece,"Vulnerability assessment platforms ",None,No,3.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=65,"No materials",20,10,0,10,20,0,0,0,25,5,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Continuously update the module with the latest cybersecurity trends","Partner with industry","Foster collaboration with industry clusters",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",6,"6 - Very Relevant",5,"5 - To a Fairly Large Extent",5,"5 - To a Fairly Large Extent",,,,,,,,,,,,,5,"5 - To a Fairly Large Extent",7,7,,6,"6 - Likely",,,
141,"Trainer Survey",29,"2025-06-21 13:14:08","Seminar (S)",Maritime,Basic,English,"CSP003 - Cybersecurity Risk Management and Governance",Oman,"risk Assessment tools ",none,No,9.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=107,"funds are used in order to travel to the location of the seminar ",25,5,0,10,25,0,0,0,10,20,0,0,"no link ","Continuously update the module with the latest cybersecurity trends","Continuously update the module with the latest cybersecurity trends","Follow the last standards ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,,,,,,,,,,,7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely",,,
142,"Trainer Survey",28,"2025-06-21 13:13:41","Seminar (S)",Maritime,Advanced,English,"CSP006 - Cyber Threat Intelligence",Oman,"●	Threat modelling tools ",None,No,6.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=113,"The project fund are used to cover the travel expenses. ",30,5,0,10,30,0,0,0,10,20,0,0,"no link ","Continuously update the module with the latest cybersecurity trends","Continuously update the module with the latest cybersecurity trends","Adapt every time the new Cybersecurity standards ",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",5,"5 - To a Fairly Large Extent",,,,,,,,,,,,,6,"6 - To a Large Extent",7,7,,5,"5 - Slightly Likely",,,
145,"Trainer Survey",4,"2025-05-02 11:34:07","Course (C)",Energy,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Portugal,"Several tools were shown during the lecturer:
- ENISA CIRAS: https://ciras.enisa.europa.eu
- CloudShark:  https://www.cloudshark.org/captures/4b8f9f3579b3
- MITRE ATT&CK: https://attack.mitre.org/matrices/ics/

And other tools were proposed as part of the exercises:
- Window Firewall
- UFW (Linux Firewall)
- OpenSSH (but using Vsftpd tool for FTP)
- Telnet
- Wireshark","The materials have been elaborated based on own material, and using PPT.
","Yes, Other",0.90,https://research.pdmfc.com/ipics2024/dcm/course/view.php?id=29,"The materials have been developed from own material, using PPT.
",22,12,0,0,34,0,0,0,0,0,0,0,"D3.1 template and the form:
SVN > WP4 > Implemented CSP modules Photos > CSP001_C_E-IPICS 2024 > Trainer FORM","Provide more reasonable time slots to allow the trainers to activate exercises.","Provide more reasonable dissemination plans and for the different sectors or communities.","Intensify the flipped-classroom methodology in advance in order to leave more time for exercises, or try to take two time slots for a session.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",9,9,,5,"5 - Slightly Likely","One of the improvements suggested would be to include more interactive activities as those based on gamification to intensify and re-force knowledge - at least on those parts associated with the theory.","- Intensify the practical time slots and facility the development of practical activities.
- Make more emphasis on real threat scenarios in order to show the relevance of the cybersecurity in the energy sector
- Maybe - but it is not dramatic - intensify some basic cybersecurity concepts.","No comment."
154,"Trainer Survey",51,"2025-07-31 16:06:43","Seminar (S)",General,Basic,English,"CSP002 - Human Factors and Cybersecurity",Portugal,"Maltego, Shodan",None,"Yes, only for full attendance",2.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=23,Slides,22,12,0,2,0,0,0,0,30,6,0,0,"The link and other details with PDMFC","More Longer Format Training with Interactive Exercises: Incorporate hands-on simulations, case studies, and group activities to reinforce learning.
Diverse Learning Styles: Cater to different learning styles by offering a mix of visual, auditory, and kinesthetic content.","(1) Partnerships and Collaborations
Industry Partnerships: Collaborate with critical infrastructure sectors to co-develop training content and reach their employees directly.
Academic Institutions: Partner with universities and colleges to offer the training as part of cybersecurity programs.

(2) Delivery Method Diversification
Online Learning: Develop online modules for flexible learning and broader accessibility.
Microlearning: Offer short, focused training modules for specific topics.
Blended Learning: Combine online and in-person training for optimal learning outcomes.

(3) Marketing and Promotion
Targeted Marketing: Identify and reach specific target audiences through tailored marketing campaigns.
Content Marketing: Create valuable content (e.g., blog posts, webinars) to attract potential participants.
Social Media: Leverage social media platforms to promote the training and engage with the target audience.","Besides above recommendations:
More Longer Format Training with Interactive Exercises: To reinforce learning, incorporate hands-on simulations, case studies, and group activities.
Diverse Learning Methods including face-to-face, online or blended model.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Very Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",4,"4 - Neutral",4,"4 - Neutral",4,"4 - Neutral",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",9,9,"theoretical - needs practical skills",7,"7 - Extremely Likely","needs practical skills part","needs practical skills part","needs practical skills"
157,"Trainer Survey",11,"2025-05-07 14:30:57","Course (C)",Energy,Basic,English,"CSP001 - Cybersecurity Essentials and Management",Portugal,"ENISA CIRAS (Cybersecurity Incident Reporting and Analysis System): https://ciras.enisa.europa.eu
MITRE ATT&CK: https://attack.mitre.org
ModbusTCP - CloudShark: https://www.cloudshark.org/captures/4b8f9f3579b3","I don't have this information since that this Summer School was managed by UNINOVA","Yes, only for full attendance",0.45,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=97,"PPT, mainly for presentation and lectures
",17,5,0,0,5,0,0,0,1,1,1,0,"The template used was those defined in D3.1. The corresponding link is the following one: https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=614","No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Very Relevant",5,"5 - To a Fairly Large Extent",6,"6 - To a Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","To include more contents related to governance such as policies, recommendations, standards,  and normative. 

To provide a clear overview of the cybersecurity ecosystem - e.g., the roles of the main cybersecurity organizations such as ENISA.","Time for the practical sessions.

Explore the inclusion of a few slides about regulation-related aspects.",
160,"Trainer Survey",9,"2025-05-07 13:17:06","Seminar (S)",Energy,Advanced,English,"CSP008 - Critical Infrastructure Security",Portugal,"Open Charge Alliance: https://openchargealliance.org/webinars/
OCPP simulator (v1.6): https://github.com/victormunoz/OCPP-1.6-Chargebox-Simulator
OCPP simulator (v2.0.1): https://github.com/yohannlog/OCPP_ChargingStation_2_0_1
Charging Stations in Europe: https://chargemap.com/map
Charging Stations in Madeira: 44 charging stations at Funchal ! - https://www.electromaps.com/en/charging-stations/portugal/madeira","UNINOVA was in charge of this. 
Basically, website and social media.","Yes, only for full attendance",0.45,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=99,"None, as only theoretical concepts were introduced.
There was no time for practical demonstrations.",12,5,0,0,5,0,0,0,1,1,1,0,https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=612,"No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Include more about the cybersecurity vulnerabilities to have a better understanding of the attack landscape in multiple scenarios for this field. 

Explain deeply the OCPP protocol, from the perspective of its functionality and security issues. ","Split the seminar into separate ones, which could have more time for covering all topics in that module. 

Extend the seminar's hours to have more space for practical activities. 
",
161,"Trainer Survey",19,"2025-05-12 18:00:09","Seminar (S)",Energy,Advanced,English,"CSP008 - Critical Infrastructure Security",Portugal,"ThreatGet threat modeling tool is a practical approach for providing examples of how to identify any potential threats and determine all possible attack paths for reaching a particular malicious target.","UNINOVA was in charge of this.
Basically, website and social media.","Yes, only for full attendance",0.45,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=99,None,12,5,0,0,5,0,0,0,1,1,1,0,"Not Applicable","No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Include some practical activities using the OCPP simulator.

Provide handouts to help participants engage more effectively with the simulation environment.","Provide some basic knowledge about network security.

Give an overview of OCPP and its structure.",
162,"Trainer Survey",17,"2025-05-12 17:25:11","Seminar (S)",Maritime,Advanced,English,"CSP004 - Network Security",Portugal,none,"UNINOVA was in charge of this.
Basically, website and social media.","Yes, only for full attendance",0.45,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=89,None,12,5,0,0,5,0,0,0,1,1,1,0,"Not Applicable","No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Provide more examples of cryptographic methods.

Enable participants to be more actively engaged with the cryptography examples.","The asymmetric and symmetric sections should include more examples.

Provide some basic background on cryptography",
163,"Trainer Survey",18,"2025-05-12 17:40:32","Course (C)",Energy,Advanced,English,"CSP004 - Network Security",Portugal,"Selected tools such as Wireshark, the ModbusTCP protocol, and Kali Linux were utilized to demonstrate practical examples of cyberattacks on data transmission within the energy sector.","UNINOVA was in charge of this. 
Basically, website and social media.","Yes, only for full attendance",0.45,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=101,"All slides were presented at that session, and all the materials are available on the: https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=37",12,5,0,0,5,0,0,0,1,1,1,0,"Everything went well, and there were no suggestions for improvement.","No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Provide more examples of cyberattacks in the energy sector.

Give an overview of the common protocols in the energy sector and present their security vulnerabilities.","The basic concepts of network security.

Update the passive and active attacks parts with examples of these attacks to support a better understanding.
",
166,"Trainer Survey",77,"2026-02-15 22:30:00","Workshop (W)",Maritime,Basic,English,"CSP009 - Software Security","Unknown Country","Burp Suite  
DirBuster  
Nikto  
sqlmap  
w3af  
WebSploit  
ZAP",none,No,8.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=71,"only the presentation ",20,5,0,5,25,0,0,0,0,25,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no need ","Partner with industry","Implement Standard Cybersecurity Framework",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",7,"7 - All students",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely",perfect,,
167,"Trainer Survey",78,"2026-02-15 22:31:38","Workshop (W)",Health,Basic,English,"CSP009 - Software Security",Greece,"Burp Suite  
DirBuster  
Nikto  
sqlmap  
w3af  
WebSploit  
ZAP",none,No,8.00,https://moodle.cybersecpro.grisenergia.pt/course/index.php?categoryid=108,"no material used from the CSP fund",15,10,0,5,25,0,0,0,25,0,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no needed ","no needed ","no needed ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",7,"7 - To a Very Large Extent",7,"7 - All students",6,"6 - Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",7,"7 - To a Very Large Extent",9,9,no,7,"7 - Extremely Likely",,,
168,"Trainer Survey",83,"2026-02-15 22:36:54","Workshop (W)",Maritime,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat","none ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=82,"no ",15,10,0,5,25,0,0,0,15,15,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no needed ","Promote the module through targeted marketing","Implement Standard Cybersecurity Framework",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Very Relevant",6,"6 - To a Large Extent",5,"5 - To a Fairly Large Extent",6,"6 - Most trainees",5,"5 - Somewhat Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",5,"5 - Somewhat Satisfied",5,"5 - To a Fairly Large Extent",9,9,,,,,,
169,"Trainer Survey",82,"2026-02-15 22:36:22","Workshop (W)",Maritime,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat
","none ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=82,"no materials used ",25,10,0,5,35,0,0,0,10,15,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"no need ","no need ","no need ",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",5,"5 - To a Fairly Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",9,9,no,7,"7 - Extremely Likely",,"it was great ",
170,"Trainer Survey",81,"2026-02-15 22:35:41","Workshop (W)",Health,Advanced,English,"CSP010 - Penetration Testing",Greece,"Nmap
Powershell
Exploits
Mimikatz
Hashcat","none ",No,16.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=79,"no ",15,10,5,5,30,0,0,0,15,15,0,0,https://docs.google.com/forms/d/e/1FAIpQLSfBbWc7id3HOWwlufb1w6yCDW8T-35rf8iMykdDMLO5gFTwTA/viewform,"Enhance the training module with more interactive exercises.","no need ","no need ",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",7,"7 - All students",7,"7 - Very Satisfied",6,"6 - Satisfied",7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely",,,
172,"Trainer Survey",47,"2025-07-22 13:18:38","Seminar (S)",Energy,Basic,English,"CSP002 - Human Factors and Cybersecurity",Finland,"CIRAS Incident Reporting (https://ciras.enisa.europa.eu/) ",None,No,2.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=40,"Power points and worksheets ",25,10,0,2,35,0,0,0,0,0,0,0,"Forms at laurea","Enhance the training module with more interactive exercises.
Continuously update the module with the latest cybersecurity trends","Partner with industry
Promote the module through targeted marketing through CSP partners","Implement Standard Cybersecurity Framework in syllabi
Foster collaboration with industry clusters for ongoing professional development opportunities for the participants of the training
Foster HEI collaboration on cybersecurity training offerings.
",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",6,"6 - To a Large Extent",6,"6 - To a Large Extent",6,"6 - Most trainees",4,"4 - Neutral",4,"4 - Neutral",4,"4 - Neutral",7,"7 - Very Satisfied",7,"7 - Very Satisfied",6,"6 - To a Large Extent",10,"10 - Extremely likely","no practical skills tested",7,"7 - Extremely Likely","update with current events/research or newer technical techniques","update with current events/research or newer technical techniques",none
173,"Trainer Survey",43,"2025-07-21 11:04:58","Seminar (S)",General,Advanced,English,"CSP002 - Human Factors and Cybersecurity",Greece,"ENISA CIRAS (https://ciras.enisa.europa.eu/)",None,No,2.00,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=110,"Power point slides and worksheets",21,6,0,9,13,0,0,0,0,0,0,0,"UPRC has information",x,x,x,7,"7 - Very Satisfied",6,"6 - Satisfied",6,"6 - Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",6,"6 - To a Large Extent",5,"5 - Many trainees",7,"7 - Very Satisfied",7,"7 - Very Satisfied",4,"4 - Neutral",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely","Was a 2- hour seminar",7,"7 - Extremely Likely","Integrating more science and practical aspects","Integrating more science and practical aspects",none
174,"Trainer Survey",15,"2025-05-09 10:53:08","Seminar (S)",Maritime,Advanced,English,"CSP004 - Network Security",Spain,"Refer and check online CyberSecPro DCM System for current information.

",None,"Yes, only for full attendance",1.50,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=13,"Slide presentations used for that seminar and all the materials are available on the DCM",5,0,0,0,5,0,0,0,4,1,0,0,https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=334,"The seminar went quite well, and there are no suggestions for improvement
","The seminar went quite well, and there are no suggestions for improvement
","The seminar went quite well, and there are no suggestions for improvement
",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Integrate gamification into the cryptography examples.

Provide more examples demonstrating how different cryptographic approaches work.","The cryptography section should include additional examples.

Provide more hands-on activities focused on encryption and decryption.",No
175,"Trainer Survey",13,"2025-05-07 17:42:08","Seminar (S)",Maritime,Advanced,English,"CSP008 - Critical Infrastructure Security",Spain,"CASSANDRA (Cascading Effects and Risk Assessment Tool)",None,"Yes, only for full attendance",1.50,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=21,"Powerpoint slides were used for that session.",5,0,0,0,5,0,0,0,4,1,0,0,"https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=621

","Everything went well in that session and there are no suggestions for improvement","Everything went well in that session and there are no suggestions for improvement","Everything went well in that session and there are no suggestions for improvement",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Include more practical activities, such as the CASSANDA simulator, or any other similar approaches.

Provide more detailed insights into real-world cases involving cascading effects within the maritime sector.

","Allocate additional time for the practical activities to allow participants to engage more deeply with the hands-on exercises.

Engage participants more actively with practical approaches to enhance their understanding of cascading effects within a simulation environment.

",
176,"Trainer Survey",12,"2025-05-07 17:34:35","Seminar (S)",Energy,Advanced,English,"CSP006 - Cyber Threat Intelligence",Spain,"CASSANDRA (Cascading Effects and Risk Assessment Tool)
ThreatGet",None,"Yes, only for full attendance",1.50,https://moodle.cybersecpro.grisenergia.pt/course/view.php?id=20,"Powerpoint slides have been presented.",9,1,0,0,10,0,0,0,5,4,1,1,https://moodle.cybersecpro.grisenergia.pt/mod/feedback/analysis.php?id=327,"No comments. Everything was fine.","No comments. Everything was fine.","No comments. Everything was fine.",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Extremely Relevant",7,"7 - To a Very Large Extent",7,"7 - To a Very Large Extent",,,7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - Very Satisfied",7,"7 - To a Very Large Extent",10,"10 - Extremely likely",,7,"7 - Extremely Likely","Include more practical activities, such as threat modelling approaches.

Give more details about the public threat catalogues in different domains. ","Allocate additional time for the practical activities to allow participants to engage more deeply with the hands-on exercises.

Provide more examples of cyber threats related to real-world case studies.
",
